id	word_id	sg1	sg2	sg3	pl1	pl2	pl3
231	9935	вы'мру	вы'мрешь	вы'мрет	вы'мрем	вы'мрете	вы'мрут
232	16420	вымира'ю	вымира'ешь	вымира'ет	вымира'ем	вымира'ете	вымира'ют
233	20553	вына'шиваю	вына'шиваешь	вына'шивает	вына'шиваем	вына'шиваете	вына'шивают
234	2169	вы'несу	вы'несешь	вы'несет	вы'несем	вы'несете	вы'несут
235	5049	вынима'ю	вынима'ешь	вынима'ет	вынима'ем	вынима'ете	вынима'ют
236	3731	выношу'	выно'сишь	выно'сит	выно'сим	выно'сите	выно'сят
237	12574	вы'нужу	вы'нудишь	вы'нудит	вы'нудим	вы'нудите	вы'нудят
238	16182	вынужда'ю	вынужда'ешь	вынужда'ет	вынужда'ем	вынужда'ете	вынужда'ют
239	1500	вы'ну	вы'нешь	вы'нет	вы'нем	вы'нете	вы'нут
240	5309	выпива'ю	выпива'ешь	выпива'ет	выпива'ем	выпива'ете	выпива'ют
241	695	вы'пью	вы'пьешь	вы'пьет	вы'пьем	вы'пьете	вы'пьют
242	13305	вы'плыву	вы'плывешь	вы'плывет	вы'плывем	вы'плывете	вы'плывут
243	1699	вы'полню	вы'полнишь	вы'полнит	вы'полним	вы'полните	вы'полнят
244	1551	выполня'ю	выполня'ешь	выполня'ет	выполня'ем	выполня'ете	выполня'ют
245	2445	выпуска'ю	выпуска'ешь	выпуска'ет	выпуска'ем	выпуска'ете	выпуска'ют
246	1613	вы'пущу	вы'пустишь	вы'пустит	вы'пустим	вы'пустите	вы'пустят
247	3023	выража'ю	выража'ешь	выража'ет	выража'ем	выража'ете	выража'ют
248	2683	вы'ражу	вы'разишь	вы'разит	вы'разим	вы'разите	вы'разят
249	1685	вы'расту	вы'растешь	вы'растет	вы'растем	вы'растете	вы'растут
250	6569	вы'ращу	вы'растишь	вы'растит	вы'растим	вы'растите	вы'растят
251	10916	выра'щиваю	выра'щиваешь	выра'щивает	выра'щиваем	выра'щиваете	выра'щивают
252	3106	вы'рву	вы'рвешь	вы'рвет	вы'рвем	вы'рвете	вы'рвут
253	25375	вы'ровняю	вы'ровняешь	вы'ровняет	вы'ровняем	вы'ровняете	вы'ровняют
254	9399	вырыва'ю	вырыва'ешь	вырыва'ет	вырыва'ем	вырыва'ете	вырыва'ют
255	9594	вы'рою	вы'роешь	вы'роет	вы'роем	вы'роете	вы'роют
256	24567	высека'ю	высека'ешь	высека'ет	высека'ем	высека'ете	высека'ют
257	15749	вы'селю	вы'селишь	вы'селит	вы'селим	вы'селите	вы'селят
258	25558	выселя'ю	выселя'ешь	выселя'ет	выселя'ем	выселя'ете	выселя'ют
259	12555	вы'секу	вы'сечешь	вы'сечет	вы'сечем	вы'сечете	вы'секут
260	6238	выска'киваю	выска'киваешь	выска'кивает	выска'киваем	выска'киваете	выска'кивают
261	1545	вы'скочу	вы'скочишь	вы'скочит	вы'скочим	вы'скочите	вы'скочат
262	5089	вы'шлю	вы'шлешь	вы'шлет	вы'шлем	вы'шлете	вы'шлют
263	3080	вы'слушаю	вы'слушаешь	вы'слушает	вы'слушаем	вы'слушаете	вы'слушают
264	8690	выслу'шиваю	выслу'шиваешь	выслу'шивает	выслу'шиваем	выслу'шиваете	выслу'шивают
265	13533	вы'сохну	вы'сохнешь	вы'сохнет	вы'сохнем	вы'сохнете	вы'сохнут
266	8146	вы'сплюсь	вы'спишься	вы'спится	вы'спимся	вы'спитесь	вы'спятся
267	12624	вы'стою	вы'стоишь	вы'стоит	вы'стоим	вы'стоите	вы'стоят
268	3991	вы'стрелю	вы'стрелишь	вы'стрелит	вы'стрелим	вы'стрелите	вы'стрелят
269	1472	выступа'ю	выступа'ешь	выступа'ет	выступа'ем	выступа'ете	выступа'ют
270	2219	вы'ступлю	вы'ступишь	вы'ступит	вы'ступим	вы'ступите	вы'ступят
271	7225	вы'сыплю	вы'сыплешь,вы'сыпешь	вы'сыплет,вы'сыпет	вы'сыплем,вы'сыпем	вы'сыплете,вы'сыпете	вы'сыплют,вы'сыпют
272	23113	высыха'ю	высыха'ешь	высыха'ет	высыха'ем	высыха'ете	высыха'ют
273	1145	вы'тащу	вы'тащишь	вы'тащит	вы'тащим	вы'тащите	вы'тащат
274	3219	вы'тру	вы'трешь	вы'трет	вы'трем	вы'трете	вы'трут
275	22503	вы'теку	вы'течешь	вы'течет	вы'течем	вы'течете	вы'текут
276	3535	вытира'ю	вытира'ешь	вытира'ет	вытира'ем	вытира'ете	вытира'ют
277	5789	во'ю	во'ешь	во'ет	во'ем	во'ете	во'ют
