word_id	aspect	partner	imperative_sg	imperative_pl	past_m	past_f	past_n	past_pl	presfut_conj_id
45334	imperfective	поджарить	поджа'ривай	поджа'ривайте	поджа'ривал	поджа'ривала	поджа'ривало	поджа'ривали	11535
45335			поджа'ривайся	поджа'ривайтесь	поджа'ривался	поджа'ривалась	поджа'ривалось	поджа'ривались	11536
45338			поджива'й	поджива'йте	поджива'л	поджива'ла	поджива'ло	поджива'ли	11537
45349			подиви'	подиви'те	подиви'л	подиви'ла	подиви'ло	подиви'ли	11538
45350			подка'лывай	подка'лывайте	подка'лывал	подка'лывала	подка'лывало	подка'лывали	11539
45351			подка'пывай	подка'пывайте	подка'пывал	подка'пывала	подка'пывало	подка'пывали	11540
45352			подка'пывайся	подка'пывайтесь	подка'пывался	подка'пывалась	подка'пывалось	подка'пывались	11541
45353	imperfective	подкатиться	подка'тывайся	подка'тывайтесь	подка'тывался	подка'тывалась	подка'тывалось	подка'тывались	11542
45354	imperfective	подкачать	подка'чивай	подка'чивайте	подка'чивал	подка'чивала	подка'чивало	подка'чивали	11543
45355			подкисля'й	подкисля'йте	подкисля'л	подкисля'ла	подкисля'ло	подкисля'ли	11544
45358			подкле'ивай	подкле'ивайте	подкле'ивал	подкле'ивала	подкле'ивало	подкле'ивали	11545
45363	imperfective	подковать	подко'вывай	подко'вывайте	подко'вывал	подко'вывала	подко'вывало	подко'вывали	10493
45364			подковы'ривай	подковы'ривайте	подковы'ривал	подковы'ривала	подковы'ривало	подковы'ривали	11547
45373	imperfective	подкрепиться	подкрепля'йся	подкрепля'йтесь	подкрепля'лся	подкрепля'лась	подкрепля'лось	подкрепля'лись	11549
45374			подкузьми'	подкузьми'те	подкузьми'л	подкузьми'ла	подкузьми'ло	подкузьми'ли	11550
45379	imperfective	подлечить	подле'чивай	подле'чивайте	подле'чивал	подле'чивала	подле'чивало	подле'чивали	11551
45380	imperfective	подлечиться	подле'чивайся	подле'чивайтесь	подле'чивался	подле'чивалась	подле'чивалось	подле'чивались	11552
