word_id	gender	partner	animate	indeclinable	sg_only	pl_only	decl_sg_id	decl_pl_id
2656	m		0	0	0	0	8650	8651
2658				0	0	0	18821	18822
2662	m		0	0	0	0	9343	9344
2663			0	0	0	0	24942	24943
2666	f		0	0	0	0	17635	17636
2667	m		0	0	0	0	7675	7676
2668	m	собеседница	0	0	0	0	19694	19695
2669	m		1	0	0	0	2081	2082
2674	m		0	0	0	0	4454	4455
2675	f		0	0	0	0	5379	5380
2676	m		0	0	0	0	10103	10104
2678	m		0	0	0	0	557	558
2680	n		0	0	0	0	3593	3594
2682	f		0	0	0	0	12177	12178
2684	f		0	0	0	0	21438	21439
2685			1	0	0	0	24944	24945
2686	m		0	0	0	0	21533	21534
2687	f		0	0	0	0	20195	20196
2688	f		0	0	0	0	13471	13472
2690	f		1	0	0	0	11766	11767
2691	f		0	0	0	0	18362	18363
2695	m		0	0	0	0	1769	1770
2696	f		0	0	0	0	24125	24126
2698	f		0	0	1	0	21902	
2702	f		1	0	0	0	5493	5494
2704	f		1	0	0	0	8945	8946
2708	f		0	0	0	0	9203	9204
2710	f		0	0	0	0	21980	21981
2711	m		0	0	0	0	18637	18638
2712	f		0	0	0	0	8606	8607
2714	f		0	0	0	0	19250	19251
2717	n		0	0	0	0	13021	13022
2718	m		1	0	0	0	5561	5562
2719	m		0	0	0	0	17724	17725
2720	m		1	0	0	0	342	343
2723	m		0	0	0	0	12712	12713
2724	f		0	0	0	0	7807	7808
2726	f		0	0	0	0	20145	20146
2727	f		0	0	0	0	20169	20170
2729	m		0	0	0	0	14266	14267
2730	n		0	1	0	0	81767	81768
2734	m		0	0	0	0	17938	17939
2735	n		0	0	0	0	3231	3232
2736	m		0	0	0	0	13748	13749
2738	m		0	0	0	0	1735	1736
2740	f		0	0	0	0	16620	16621
2743	m		0	0	0	0	18665	18666
2745	f		0	0	0	0	9903	9904
2747			0	0	0	0	24952	24953
2748	n		0	0	0	0	14647	14648
2749	m		1	0	0	0	16787	16788
2751	m		0	0	0	0	24087	24088
2752	m		0	0	0	0	9775	9776
2754	n		0	1	0	0	81769	81770
2756	m	трусиха	1	0	0	0	21700	21701
2760	m	иностранка	1	0	0	0	7092	7093
2762	f		0	0	0	0	9582	9583
2766	m		0	0	0	0	23272	23273
2767	m		0	0	0	0	1109	1110
2768	f		0	0	0	0	10859	10860
2769	f		0	0	0	0	20677	20678
2770	f		0	0	0	0	3587	3588
2771	n		0	0	0	0	13119	13120
2777	m		0	0	0	0	20779	20780
2778	n		0	0	1	0	19021	81771
2779	m		0	0	0	0	379	380
2780	n		0	0	0	0	22068	22069
2784	f		0	0	0	0	10904	10905
2789	m		0	0	0	0	3982	3983
2790	f		0	0	0	0	15212	15213
2792	f		0	0	0	0	17231	17232
2793	f		0	0	0	0	17862	17863
2794	m		1	0	0	0	11139	11140
2797	n		0	0	0	0	18773	18774
2798	m		0	0	0	0	2022	2023
2799	m		0	0	0	0	3954	3955
2800	f		1	0	0	0	18791	18792
2801	f		0	0	0	0	18322	18323
2802	m		0	0	0	0	20135	20136
2803	m	принцесса	1	0	0	0	16438	16439
2804	n		0	0	0	0	11471	11472
2806	m		0	0	0	0	14784	14785
2807	m		0	0	0	0	18326	18327
2808			0	0	0	0	24958	24959
2811	f		0	0	0	0	12462	12463
2813	m		0	0	0	0	17018	17019
2814	m		1	0	0	0	10783	10784
2815	n		0	0	0	0	16769	16770
2821	n		0	0	0	0	5319	5320
2823	n		0	0	0	0	17072	17073
2824	f		0	0	0	0	23274	23275
2828	m		0	0	0	0	13121	13122
2836	n		0	0	1	0	21077	81772
2839	m		0	0	0	0	21725	21726
2842			0	0	0	0	24960	24961
2848	m		0	0	1	0	8421	81773
2853	m		0	0	0	0	2780	2781
2854	m		1	0	0	0	8808	8809
2857	n		0	0	0	0	22489	22490
2859	f		0	0	0	0	11687	11688
2860	f		0	0	0	0	16252	16253
2861	f		0	0	0	0	959	960
2864	n		0	0	0	0	2509	2510
2865	f		0	0	0	0	20466	20467
2871	n		0	0	0	0	20526	20527
2876	f			0	0	0	2800	2801
2877	f		1	0	0	0	2465	2466
2878	f		0	0	0	0	5977	5978
2880	m		0	0	0	0	18162	18163
2883	m		0	0	0	0	12456	12457
2884	f		0	0	0	0	9872	9873
2885	n		0	0	0	0	19889	19890
2886	m		0	0	0	0	1456	1457
2888	n		0	0	0	0	14913	14914
2894	f		0	0	0	0	13956	13957
2895	f		0	0	0	0	21716	21717
2896	m	баронесса	1	0	0	0	1195	1196
2897	m	посетительница	1	0	0	0	15686	15687
2898	f		0	0	0	0	14342	14343
2905	f		0	0	0	0	14778	14779
2911	n		0	0	0	0	13143	13144
2912	f		0	0	0	0	7714	7715
2914	m		1	0	0	0	8368	8369
2918	m		0	0	0	0	8276	8277
